1;42;lichtgroen;Queeste
2;-3;Oker;quebec
3;8;blauw;Quiz
5;15;Zwart;Quiz
8;6;Aubergine;Quasar
10;1;Paars;Qwerty
21;11;Lila;Quantum
23;125894;Lila;Qubus
26;67;Azuurgeel;Qubit
32;7;Roze;Quiz
33;16;Roze;QuotiÃ«nt
35;7;Bruin;Quebec
36;55;cyaan;quad
37;5;appelblauwzzegroen;Quiz
40;9;indico;quiche
42;14;Paars;Quiz
44;3;appelblauzeegroen;quota
45;457;lichtgroen;Quorn
46;14;Oker;Quota
47;45;Gitzwart;quote
48;9;wit;quinten
49;44;Paars;Quizlett
50;7;yellow;Quiet
51;20;Bordeaux;Quad
52;1,00E+101;Vantablack;quadrant
53;3;groen;quit
54;11;Oranje;Qwerty-toetsenbord
55;12;zalmroze;quinoa
56;47;Oranje;Quora
57;5;rood;Query
60;38;groen;Qkweet het niet
62;2125;oranje lava;Quoi
63;12478;grijs;Quisquater
66;87;magenta;Quattro
67;40;Oker;Quark
68;188;paars;quad
69;49;Purper;Quota
71;99;fusia;Quatar
72;3;pink;quarter
73;4444;Groen;Quota
74;67;Violet;Quasar
76;8;GEEL;QUIT
77;8;rood;quad
78;1;Grijs;Quickstep
80;999;Blauw;quasi
81;154065;blauw;quiz
82;457;Paars;Quote
83;1,11222E+16;paars;Qtie
84;22;Azure;Quiche
85;88;Lapis Lazuli;Quadragesima
89;5;Grijs;quiche
91;999;okker geel;Q8-station
94;850;donkerblauw;Quiz
96;7948;kanariegeel;quiche
97;99;Paars;Quid
99;920;zalmroze;query
100;1440;Groen;Quotering
101;789;Geel;Qua
102;666;violet;Quiz
104;5687;koningsblauw;quiz
105;1;blauw;quarantine
106;1,11222E+31;Groen;Q
107;1;Oker;Quistenbiebel
109;11;appelblauwzeegroen;quantum
110;6;blauw;quinoa
111;74;Rood;Quiztafel
112;1;Lila;Quark
114;112;Agenta;quote
115;4369;kanariegeel;quinoa
116;67890745;RAL 610-5;Qigong
117;4414;Paars;Quidditch
118;589706;donkerbruin;quick
119;31;Steenrood;Quad
120;404;aubergine;quadriljoen
121;69420;Zwart;quinoa
122;Dit is geen getal;Rood;Qwebbelaar
123;12;geel;quote
124;55;apple blauw zee groen;quarantaine
125;88;ultramarijn;qatar
126;12;blauw;quiz
127;159753;geel;qerspitkussen
128;16540;Oranje;Quadriljoen
129;9;beige;quality
130;9.58;Indigo;quotum
131;141414;Purper;Quotering
132;6;oranje;quiz
133;22;lila;quiz
134;96;Muntgroen;Queeste
135;14;Paars;Quiz
136;3;wit;Qwerty
137;Pi;cyaan;queeste
138;9876;Grijs;Quarantaine
140;-54;Grijs;quid
141;89;kakigroen;quadricep
142;22/jul;kakki blauw;quoque
143;14444444;Appelblauwzeegroen;Quizlet
145;-78;Zand;quasar
146;800;Bordeaux;Querytalen
147;22398;Geel;Quiz
148;1234;Koraalrood;quiz
149;googol;cyaan;qua
154;9999;Roodlila;Quartier
155;7894;Flessengroen;quiztafel
156;657;Briljantgeel;quizbeest
157;16;Verkeersoranje;quasimodo
158;3;Ultramarijnblauw;quadroontje
